Year,total_articles,articles_with_criterion,percentage,min_metrics
1987,58,0,0.0,100
1988,56,0,0.0,100
1989,24,0,0.0,100
1990,41,0,0.0,100
1991,15,0,0.0,100
1992,54,0,0.0,100
1993,75,0,0.0,100
1994,40,0,0.0,100
1995,50,0,0.0,100
1996,17,0,0.0,100
1997,57,0,0.0,100
1998,58,0,0.0,100
1999,23,0,0.0,100
2000,36,0,0.0,100
2001,53,0,0.0,100
2002,92,0,0.0,100
2003,51,0,0.0,100
2004,91,0,0.0,100
2005,95,0,0.0,100
2006,98,0,0.0,100
2007,102,0,0.0,100
2008,243,0,0.0,100
2009,254,0,0.0,100
2010,303,0,0.0,100
2011,326,0,0.0,100
2012,316,0,0.0,100
2013,399,0,0.0,100
2014,394,0,0.0,100
2015,455,0,0.0,100
2016,520,0,0.0,100
2017,683,0,0.0,100
2018,982,0,0.0,100
2019,1232,0,0.0,100
2020,954,0,0.0,100
2021,1446,0,0.0,100
2022,1252,0,0.0,100
2023,1784,1,0.05605381165919283,100
2024,2332,0,0.0,100
2025,2097,1,0.04768717215069146,100
