Year,total_articles,articles_with_criterion,percentage,min_metrics
1987,58,0,0.0,40
1988,56,0,0.0,40
1989,24,0,0.0,40
1990,41,0,0.0,40
1991,15,0,0.0,40
1992,54,0,0.0,40
1993,75,0,0.0,40
1994,40,0,0.0,40
1995,50,0,0.0,40
1996,17,0,0.0,40
1997,57,0,0.0,40
1998,58,0,0.0,40
1999,23,0,0.0,40
2000,36,0,0.0,40
2001,53,0,0.0,40
2002,92,0,0.0,40
2003,51,0,0.0,40
2004,91,0,0.0,40
2005,95,0,0.0,40
2006,98,0,0.0,40
2007,102,0,0.0,40
2008,243,0,0.0,40
2009,254,0,0.0,40
2010,303,0,0.0,40
2011,326,0,0.0,40
2012,316,0,0.0,40
2013,399,0,0.0,40
2014,394,0,0.0,40
2015,455,0,0.0,40
2016,520,0,0.0,40
2017,683,0,0.0,40
2018,982,0,0.0,40
2019,1232,0,0.0,40
2020,954,0,0.0,40
2021,1446,0,0.0,40
2022,1252,0,0.0,40
2023,1784,1776,99.55156950672645,40
2024,2332,2327,99.78559176672384,40
2025,2097,2097,100.0,40
