,Event,Authors,Title,Abstract,Keywords,Publisher,URL_Paper,Date
3857,"



				Início
			
/



				Todas as Edições
			
/



				2023: Anais da VII Escola Regional de Engenharia de Software
			
/


									Trilha da Graduação
						

",Pedro da Cruz ChagasUniversidade Estadual de Maringá (UEM)Carlos Danilo LuzUniversidade Estadual de Maringá (UEM)Edson OliveiraJrUniversidade Estadual de Maringá (UEM),Adoção de Domain-Driven Design para o Domínio de Pagamentos,"ResumoÉ muito comum no mercado de engenharia de software que não se tenha uma definição quanto aos domínios presentes no contexto de uma determinada empresa, fazendo com que seja um desafio a manutenção desses domínios a longo prazo, podendo culminar até mesmo na necessidade de reimplementar o sistema como um todo. Dada uma empresa no contexto de pagamentos com vários domínios desencapsulados e distribuídos em diversas aplicações, o que se propõe com este trabalho é documentar a aplicação dos conceitos e boas práticas do Domain-Driven Design que serão empregados em um domínio específico desta empresa. Isso será realizado pela equipe responsável pela manutenção do domínio e da aplicação já citados, encapsulando o mesmo dentro somente desta aplicação, que será responsável por implementar o modelo do domínio que será estudado.",No keywords available,PDF,https://sol.sbc.org.br/index.php/eres/article/view/27038/26856,Publicado06/12/2023
3858,"



				Início
			
/



				Todas as Edições
			
/



				2018: Anais da II Escola Regional de Engenharia de Software
			
/


									Trilha da Graduação
						

",Luana BelussoUTFPRPedro MachadoUTFPRFelipe RibeiroUTFPRJackson SchimitUTFPR,Aplicação de uma Survey para Identificação de Problemas no Processo de Coleta e Análise de Requisitos de Sistema,"ResumoEste artigo aborda a identificação de problemas no processo de coleta e análise de requisitos em empresas desenvolvedoras de software, através da realização de uma Survey composta por duas etapas que consistem na aplicação de um questionário e na realização de entrevistas com os profissionais atuantes. A discussão compreende a forma como o processo de análise de requisitos está sendo desempenhado em cenários reais e de que forma impacta nos sistemas desenvolvidos.",No keywords available,PDF,https://sol.sbc.org.br/index.php/eres/article/view/10052/9934,Publicado22/10/2018
3859,"



				Início
			
/



				Todas as Edições
			
/



				2021: Anais da V Escola Regional de Engenharia de Software
			
/


									Trilha da Graduação
						

",Ícaro Machado CrespoUNIPAMPAMarina Braun OtokovieskiUNIPAMPAAmanda Meincke MeloUNIPAMPA,Avaliação Remota de Usabilidade do Site do Campus Alegrete da Unipampa,"ResumoEste artigo apresenta o processo de Avaliação de Usabilidade do site do Campus Alegrete da Unipampa e seus resultados. A avaliação ocorreu em duas etapas, apoiadas pelo Questionário USE, instrumento SAM e Avaliação Cooperativa Online, métodos estes adaptados para o trabalho remoto, tendo como público-alvo os estudantes do Campus. Cada uma das etapas, contou com quantitativos de usuários distintos, sendo 47 e 6, respectivamente. Como resultados, apresentam-se a interpretação para os dados obtidos sobre a percepção da usabilidade pelos usuários, assim como da execução de tarefas por alguns desses usuários e de suas emoções ao realizá-las. Ao final, pode-se observar que melhorias devem ser realizadas para aprimorar a experiência do usuário.","Palavras-chave:Avaliação de Usabilidade, 													USE, 													SAM, 													Avaliação Cooperativa Online",PDF,https://sol.sbc.org.br/index.php/eres/article/view/18447/18280,Publicado01/12/2021
3860,"



				Início
			
/



				Todas as Edições
			
/



				2021: Anais da V Escola Regional de Engenharia de Software
			
/


									Trilha da Indústria
						

",Yury Alencar LimaUNIPAMPAIgor Oliveira FonsecaUNIPAMPAJonas M. ChagasUNIPAMPAElder de Macedo RodriguesUNIPAMPAMaicon Bernardino da SilveiraUNIPAMPAJoão Pablo S. da SilvaUNIPAMPA,Comparação de ferramentas de análise estática para detecção de defeitos de software usando mutantes,"ResumoA análise estática de código é uma técnica aplicada na etapa de verificação de um software, com o objetivo de identificar defeitos sem a necessidade da execução da aplicação. Atualmente existem diversas ferramentas de análise estática disponíveis no mercado, onde cada uma possui suas particularidades e diferentes escopos de análise. Portanto, escolher a ferramenta correta a ser usada não é uma atividade trivial. Este estudo tem como objetivo comparar duas ferramentas de análise estática de código sendo elas o SonarQube e o PMD, analisando a sua eficácia na identificação de defeitos em um código de software. Com esta finalidade foram criados mutantes a partir de projetos Open Source, que auxiliaram a verificar a eficácia das ferramentas.","Palavras-chave:Análise estática de código, 													Qualidade de código, 													SonarQube, 													PMD, 													Comparação de ferramentas",PDF,https://sol.sbc.org.br/index.php/eres/article/view/18461/18294,Publicado01/12/2021
3861,"



				Início
			
/



				Todas as Edições
			
/



				2021: Anais da V Escola Regional de Engenharia de Software
			
/


									Trilha da Graduação
						

",Crismerlyn Paiva PereiraUFSCARAngélica Cunha dos SantosUFSCARLuciana A. M. ZainaUFSCAR,Uso de Quadros Kanban Virtuais Sob as Lentes do DX: um Estudo com Profissionais de Startups de Software,"ResumoO quadro kanban é uma ferramenta amplamente utilizada por times de software e pode ser útil para startups de software gerirem seu trabalho. Como muitas vezes as startups de software têm times pequenos, os quadros kanban são adequados para manter os times informados sobre o fluxo de trabalho. Neste artigo, foram entrevistados dez profissionais que trabalharam em times de software em startups para investigar a experiência dos desenvolvedores (DX) sobre a utilização dos quadros kanban virtuais. Os resultados revelaram que os quadros kanban virtuais são essenciais para acompanhar os projetos de software em andamento. No entanto, os entrevistados relataram ter dificuldades em manusear as ferramentas, e consequentemente, isto pode causar descontentamentos nos desenvolvedores.","Palavras-chave:quadros kanban, 													experiência do desenvolvedor, 													ferramentas virtuais, 													startups de software, 													entrevistas",PDF,https://sol.sbc.org.br/index.php/eres/article/view/18453/18286,Publicado01/12/2021
3862,"



				Início
			
/



				Todas as Edições
			
/



				2021: Anais da V Escola Regional de Engenharia de Software
			
/


									Trilha da Graduação
						

",Alexandro Sousa dos SantosUTFPRMatheus NevesUTFPRYuri RodriguesUTFPRNisio H. de OliveiraUTFPRDaniel KuhnUTFPRGustavo SantosUTFPRRodolfo A. SilvaUTFPR,"Experiência do Projeto ""Fábrica de Software"" em um Curso de Engenharia de Software","ResumoA ""Fábrica de Software"" foi realizada como um projeto de ensino, com o objetivo de aproximar os objetivos formadores esperados do curso de Bacharelado em Engenharia de Software com o desenvolvimento de softwares reais, em um processo que simula uma indústria de software. O projeto teve duração de cinco meses, contou com o apoio de docentes do curso e a participação ativa de cinco discentes de diferentes períodos. O presente artigo relata o desenvolvimento desse projeto, resultados e desafios observados. Destacaram-se o contato e aprendizado com problemas reais, e a sobrecarga com atividades decorrentes do ensino remoto.","Palavras-chave:Engenharia de Software, 													Projeto de Ensino, 													Fábrica de Software",PDF,https://sol.sbc.org.br/index.php/eres/article/view/18454/18287,Publicado01/12/2021
3863,"



				Início
			
/



				Todas as Edições
			
/



				2021: Anais da V Escola Regional de Engenharia de Software
			
/


									Trilha da Graduação
						

",Gustavo R. MalacarneUTFPREdson T. CamargoUTFPR,Desenvolvimento Seguro de Sistemas Web: Uma Revisão Sistemática,"ResumoO objetivo deste trabalho é apresentar uma revisão sistemática sobre o desenvolvimento de aplicações Web a partir das principais vulnerabilidades de segurança encontradas na lista OWASP TOP10. Esta revisão sistemática visa identificar pesquisas, ferramentas e metodologias que proporcionam formas seguras de desenvolver sistemas Web. Inicialmente foram encontrados 165 trabalhos, sendo desses 89 selecionados como relevantes. Resultados apresentam os trabalhos que tratam das principais vulnerabilidades descritas na OWASP TOP 10, e as principais ferramentas e métodos para projeto e desenvolvimento de um software seguro.","Palavras-chave:OWASP TOP 10, 													Desenvolvimento de Aplicações Web, 													Segurança da Informação",PDF,https://sol.sbc.org.br/index.php/eres/article/view/18449/18282,Publicado01/12/2021
3864,"



				Início
			
/



				Todas as Edições
			
/



				2018: Anais da II Escola Regional de Engenharia de Software
			
/


									Trilha da Graduação
						

",Ester FaveroUNIPAMPAIgor de OliveiraUNIPAMPAPedro NuñesUNIPAMPAFábio BassoUNIPAMPA,"Estudo Exploratório no Refinamento de uma DSL para Versões Baseadas em EMF, EMF Forms e Angular","ResumoEste trabalho apresenta um estudo exploratório de tecnologias para a construção de Linguagens Específicas de Domónio (DSL), incluindo EMF, EMF Forms e Angular. Nosso objetivo é explorar três versões de uma DSL concebida para representação de modelos de negócio criados para a validação de modelos de startups. Nosso modelo de domínio é conceitualmente direcionado para representação de planos de negócios para todas as áreas do mercado de trabalho. Esta pesquisa realiza uma análise ""black box"", investigando na prática estas tecnologias como forma de encontrar a melhor opção para um sistema de informação gerencial de planos de negócio. Nossas conclusões são: 1) O desenvolvimento de sistemas com base em conceitos de DSL requer um nível elevado de conhecimento para análise de domínio; 2) as ferramentas investigadas trazem uma facilidade para a integração de cada tecnologia, e; 3) os resultados visuais não são agradáveis para um usuário final, portanto abrindo espaço para novas pesquisas em usabilidade.",No keywords available,PDF,https://sol.sbc.org.br/index.php/eres/article/view/10056/9938,Publicado22/10/2018
3865,"



				Início
			
/



				Todas as Edições
			
/



				2017: Anais da I Escola Regional de Engenharia de Software
			
/


									Trilha da Pós-Graduação
						

",Ildevana RodriguesPUCRSMárcia CamposPUCRSAvelino ZorzoPUCRSMaicon BernardinoUNIPAMPAElder RodriguesUNIPAMPA,Usa-DSL: Um Framework para Avaliação de Usabilidade de Linguagens Específicas de Domínio,"ResumoEstudos mostraram não haver métodos bem definidos para avaliar critérios de usabilidade em linguagens específicas de domínio (Domain-Specific Languages - DSL). Desta forma, engenheiros de software avaliam de forma experimental, até mesmo subjetivamente, se uma DSL é fácil de ser utilizada e de fácil entendimento, por exemplo. Este trabalho descreve a primeira versão de um framework de avaliação de usabilidade de DSL denominado Usa-DSL. Este artigo também apresenta uma avaliação preliminar do Usa-DSL.",No keywords available,PDF,https://sol.sbc.org.br/index.php/eres/article/view/10096/9977,Publicado18/10/2017
3866,"



				Início
			
/



				Todas as Edições
			
/



				2018: Anais da II Escola Regional de Engenharia de Software
			
/


									Trilha da Graduação
						

",Dirlene KosvoshiIFRSLis de BortoliIFRS,Análise do Framework HoneyComb sob a perspectiva da Engenharia de Requisitos,"ResumoO objetivo deste artigo é apresentar uma análise do framework HoneyComb sob a perspectiva da engenharia de requisitos, a fim de verificar as características necessárias a uma ferramenta de comunicação, para apoiar a engenharia de requisitos, baseada em redes sociais. Os resultados do comparativo demonstram que há uma adequação de 78% dos elementos do Honeycomb com as características da engenharia de requisitos.",No keywords available,PDF,https://sol.sbc.org.br/index.php/eres/article/view/10050/9932,Publicado22/10/2018
