Year,total_articles,articles_with_criterion,percentage,min_metrics
2020,962,0,0.0,20
2021,1456,0,0.0,20
2022,1262,0,0.0,20
2023,1796,1268,70.60133630289532,20
2024,2447,1808,73.88639149979566,20
2025,2143,1548,72.23518432104527,20
