Year,total_articles,articles_with_criterion,percentage,min_metrics
2020,962,0,0.0,27
2021,1456,0,0.0,27
2022,1262,0,0.0,27
2023,1796,52,2.89532293986637,27
2024,2447,109,4.4544340008173275,27
2025,2143,74,3.453103126458236,27
