Year,total_articles,articles_with_criterion,percentage,min_metrics
1987,58,0,0.0,20
1988,56,0,0.0,20
1989,24,0,0.0,20
1990,41,0,0.0,20
1991,15,0,0.0,20
1992,54,0,0.0,20
1993,75,0,0.0,20
1994,40,0,0.0,20
1995,50,0,0.0,20
1996,17,0,0.0,20
1997,57,0,0.0,20
1998,58,0,0.0,20
1999,23,0,0.0,20
2000,36,0,0.0,20
2001,53,0,0.0,20
2002,92,0,0.0,20
2003,51,0,0.0,20
2004,91,0,0.0,20
2005,95,0,0.0,20
2006,98,0,0.0,20
2007,102,0,0.0,20
2008,243,0,0.0,20
2009,254,0,0.0,20
2010,303,0,0.0,20
2011,326,0,0.0,20
2012,316,0,0.0,20
2013,399,0,0.0,20
2014,394,0,0.0,20
2015,455,0,0.0,20
2016,520,0,0.0,20
2017,683,0,0.0,20
2018,982,0,0.0,20
2019,1232,0,0.0,20
2020,954,0,0.0,20
2021,1446,0,0.0,20
2022,1252,0,0.0,20
2023,1784,1784,100.0,20
2024,2332,2332,100.0,20
2025,2097,2097,100.0,20
