Year,total_articles,articles_with_criterion,percentage,min_metrics
2020,962,0,0.0,25
2021,1456,0,0.0,25
2022,1262,0,0.0,25
2023,1796,345,19.20935412026726,25
2024,2447,706,28.85165508786269,25
2025,2143,454,21.185254316378906,25
