Year,total_articles,articles_with_criterion,percentage,min_metrics
2020,962,0,0.0,15
2021,1456,0,0.0,15
2022,1262,0,0.0,15
2023,1796,1652,91.98218262806236,15
2024,2447,2258,92.27625664078464,15
2025,2143,2029,94.6803546430238,15
