Year,total_articles,articles_with_criterion,percentage,min_metrics
2020,962,0,0.0,10
2021,1456,0,0.0,10
2022,1262,0,0.0,10
2023,1796,1772,98.66369710467706,10
2024,2447,2325,95.01430322844298,10
2025,2143,2111,98.50676621558563,10
